match_id,source_match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo_pre,away_elo_pre,elo_diff,is_friendly,is_qualifier,is_world_cup,is_continental,is_competitive,tournament_type,home_is_host,away_is_host,went_to_shootout
1,4990,1960-01-01,Morocco,Yugoslavia,0,5,Friendly,Casablanca,Morocco,False,1510.37,1735.6,-125.23,True,False,False,False,False,friendly,True,False,False
2,4991,1960-01-03,Tunisia,Yugoslavia,1,5,Friendly,Tunis,Tunisia,False,1518.65,1748.69,-130.04,True,False,False,False,False,friendly,True,False,False
3,4992,1960-01-06,Italy,Switzerland,3,0,Central European International Cup,Naples,Italy,False,1645.88,1425.73,320.15,False,False,False,False,True,other,True,False,False
4,4993,1960-01-08,Egypt,Yugoslavia,0,1,Friendly,Cairo,United Arab Republic,True,1624.86,1760.73,-135.87,True,False,False,False,False,friendly,False,False,False
5,4994,1960-01-27,Guinea-Bissau,Gambia,3,2,Friendly,Bissau,Portuguese Guinea,False,1525.83,1481.14,144.69,True,False,False,False,False,friendly,False,False,False
6,4995,1960-01-31,Guinea-Bissau,Sierra Leone,3,4,Friendly,Kumasi,Ghana,True,1531.9,1454.5,77.39,True,False,False,False,False,friendly,False,False,False
7,4996,1960-02-07,Ghana,Sierra Leone,6,2,Friendly,Accra,Ghana,False,1543.59,1466.7,176.9,True,False,False,False,False,friendly,True,False,False
8,4997,1960-02-14,Costa Rica,Curaçao,1,1,CCCF Championship,Havana,Cuba,True,1716.49,1561.03,155.45,False,False,False,False,True,other,False,False,False
9,4998,1960-02-19,Honduras,Curaçao,3,3,CCCF Championship,Havana,Cuba,True,1478.93,1567.33,-88.4,False,False,False,False,True,other,False,False,False
10,4999,1960-02-20,Martinique,Guadeloupe,2,2,Friendly,Fort-de-France,Martinique,False,1540.7,1480.51,160.19,True,False,False,False,False,friendly,True,False,False
11,5000,1960-02-23,Cuba,Curaçao,3,4,CCCF Championship,Havana,Cuba,False,1274.76,1563.59,-188.84,False,False,False,False,True,other,True,False,False
12,5001,1960-02-27,Curaçao,Suriname,1,0,CCCF Championship,Havana,Cuba,True,1571.16,1542.89,28.27,False,False,False,False,True,other,False,False,False
13,5002,1960-02-28,Belgium,France,1,0,Friendly,Brussels,Belgium,False,1488.79,1781.67,-192.88,True,False,False,False,False,friendly,True,False,False
14,5003,1960-02-29,Costa Rica,Curaçao,4,0,CCCF Championship,Havana,Cuba,True,1710.19,1584.94,125.25,False,False,False,False,True,other,False,False,False
15,5004,1960-03-06,Brazil,Mexico,2,2,Pan American Championship,San José,Costa Rica,True,1868.36,1640.35,228.01,False,False,False,False,True,other,False,False,False
16,5005,1960-03-08,Costa Rica,Argentina,0,0,Pan American Championship,San José,Costa Rica,False,1728.59,1819.03,9.57,False,False,False,False,True,other,True,False,False
17,5006,1960-03-10,Argentina,Mexico,3,2,Pan American Championship,San José,Costa Rica,True,1819.44,1648.98,170.46,False,False,False,False,True,other,False,False,False
18,5007,1960-03-10,Costa Rica,Brazil,3,0,Pan American Championship,San José,Costa Rica,False,1728.18,1859.72,-31.54,False,False,False,False,True,other,True,False,False
19,5008,1960-03-13,Argentina,Brazil,2,1,Pan American Championship,San José,Costa Rica,True,1827.62,1831.09,-3.48,False,False,False,False,True,other,False,False,False
20,5009,1960-03-13,Spain,Italy,3,1,Friendly,Barcelona,Spain,False,1732.58,1653.06,179.53,True,False,False,False,False,friendly,True,False,False
21,5010,1960-03-15,Brazil,Mexico,2,1,Pan American Championship,San José,Costa Rica,True,1815.94,1640.81,175.14,False,False,False,False,True,other,False,False,False
22,5011,1960-03-15,Costa Rica,Argentina,0,2,Pan American Championship,San José,Costa Rica,False,1756.81,1842.77,14.04,False,False,False,False,True,other,True,False,False
23,5012,1960-03-16,France,Chile,6,0,Friendly,Paris,France,False,1766.62,1606.6,260.02,True,False,False,False,False,friendly,True,False,False
24,5013,1960-03-17,Argentina,Mexico,2,0,Pan American Championship,San José,Costa Rica,True,1866.18,1632.79,233.39,False,False,False,False,True,other,False,False,False
25,5014,1960-03-17,Costa Rica,Brazil,0,4,Pan American Championship,San José,Costa Rica,False,1733.4,1823.96,9.43,False,False,False,False,True,other,True,False,False
26,5015,1960-03-20,Argentina,Brazil,0,1,Pan American Championship,San José,Costa Rica,True,1875.49,1852.85,22.64,False,False,False,False,True,other,False,False,False
27,5016,1960-03-23,Germany,Chile,2,1,Friendly,Stuttgart,Germany,False,1696.92,1598.83,198.08,True,False,False,False,False,friendly,True,False,False
28,5017,1960-03-27,Austria,France,2,4,UEFA Euro qualification,Vienna,Austria,False,1663.29,1774.4,-11.11,False,True,False,True,True,qualifier,True,False,False
29,5018,1960-03-27,Belgium,Switzerland,3,1,Friendly,Brussels,Belgium,False,1503.83,1418.55,185.28,True,False,False,False,False,friendly,True,False,False
30,5019,1960-03-30,Republic of Ireland,Chile,2,0,Friendly,Dublin,Republic of Ireland,False,1596.25,1593.99,102.26,True,False,False,False,False,friendly,True,False,False
31,5020,1960-03-31,Guernsey,Alderney,5,1,Muratti Vase,Guernsey,Guernsey,False,1611.21,1227.52,483.69,False,False,False,False,True,other,True,False,False
32,5021,1960-04-03,Netherlands,Bulgaria,4,2,Friendly,Amsterdam,Netherlands,False,1588.91,1561.47,127.44,True,False,False,False,False,friendly,True,False,False
33,5022,1960-04-06,Switzerland,Chile,4,2,Friendly,Basel,Switzerland,False,1410.87,1583.28,-72.41,True,False,False,False,False,friendly,True,False,False
34,5023,1960-04-06,Wales,Northern Ireland,3,2,British Home Championship,Wrexham,Wales,False,1580.65,1551.92,128.73,False,False,False,False,True,other,True,False,False
35,5024,1960-04-09,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,1661.96,1727.03,34.93,False,False,False,False,True,other,True,False,False
36,5025,1960-04-13,Belgium,Chile,1,1,Friendly,Brussels,Belgium,False,1511.51,1565.2,46.32,True,False,False,False,False,friendly,True,False,False
37,5026,1960-04-14,Burkina Faso,Gabon,5,4,African Friendship Games,Tananarive,Madagascar,True,1500.0,1500.0,0.0,False,False,False,False,True,other,False,False,False
38,5027,1960-04-14,Cameroon,Djibouti,9,2,African Friendship Games,Tananarive,Madagascar,True,1529.72,1417.26,112.47,False,False,False,False,True,other,False,False,False
39,5028,1960-04-14,Congo,Réunion,4,1,African Friendship Games,Tananarive,Madagascar,True,1500.0,1331.83,168.17,False,False,False,False,True,other,False,False,False
40,5029,1960-04-14,Ivory Coast,Benin,3,2,African Friendship Games,Tananarive,Madagascar,True,1500.0,1472.34,27.66,False,False,False,False,True,other,False,False,False
41,5030,1960-04-14,Mali,Central African Republic,4,3,African Friendship Games,Tananarive,Madagascar,True,1500.0,1500.0,0.0,False,False,False,False,True,other,False,False,False
42,5031,1960-04-15,Cameroon,Mali,3,2,African Friendship Games,Tananarive,Madagascar,True,1552.91,1515.0,37.91,False,False,False,False,True,other,False,False,False
43,5032,1960-04-15,Congo,Ivory Coast,3,2,African Friendship Games,Tananarive,Madagascar,True,1514.45,1513.81,0.64,False,False,False,False,True,other,False,False,False
44,5033,1960-04-15,Madagascar,Burkina Faso,6,1,African Friendship Games,Tananarive,Madagascar,False,1491.77,1515.0,76.77,False,False,False,False,True,other,True,False,False
45,5034,1960-04-17,Cameroon,Congo,5,4,African Friendship Games,Tananarive,Madagascar,True,1566.28,1529.42,36.86,False,False,False,False,True,other,False,False,False
46,5035,1960-04-18,Madagascar,Congo,8,1,African Friendship Games,Tananarive,Madagascar,False,1515.24,1516.01,99.23,False,False,False,False,True,other,True,False,False
47,5036,1960-04-20,Indonesia,Malaysia,5,0,Friendly,Surakarta,Indonesia,False,1618.29,1520.56,197.74,True,False,False,False,False,friendly,True,False,False
48,5037,1960-04-24,Belgium,Netherlands,2,1,Friendly,Antwerp,Belgium,False,1510.19,1598.64,11.55,True,False,False,False,False,friendly,True,False,False
