source,source_name,issue,suggested_action
world_bank,Abkhazia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Alderney,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Ambazonia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Andalusia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Anguilla,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Arameans Suryoye,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Artsakh,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Aymara,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Barawa,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Basque Country,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Biafra,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Bonaire,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Brittany,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Canary Islands,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Cascadia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Catalonia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Chagos Islands,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Chameria,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Chechnya,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Cilento,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Cook Islands,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Corsica,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,County of Nice,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Crimea,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Czechoslovakia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Darfur,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Donetsk PR,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Délvidék,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,East Turkestan,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Elba Island,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Ellan Vannin,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Falkland Islands,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Felvidék,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Franconia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,French Guiana,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Frøya,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Galicia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,German DR,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Gotland,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Gozo,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Guadeloupe,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Guernsey,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Găgăuzia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Hitra,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Hmong,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Iraqi Kurdistan,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Isle of Wight,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Jersey,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Kabylia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Kernow,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Kurdistan,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Kárpátalja,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Luhansk PR,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Madrid,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Mapuche,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Martinique,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Matabeleland,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Maule Sur,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Mayotte,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Menorca,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Micronesia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Montserrat,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Niue,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,North Vietnam,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Northern Cyprus,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Occitania,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Orkney,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Padania,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Panjab,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Parishes of Jersey,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Provence,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Quebec,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Raetia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Republic of St. Pauli,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Rhodes,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Romani people,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Ryūkyū,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Réunion,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saare County,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saint Barthélemy,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saint Helena,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saint Martin,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saint Pierre and Miquelon,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saint Vincent and the Grenadines,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Sark,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Saugeais,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Sealand,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Seborga,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Shetland,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Silesia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Sint Maarten,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Somalia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Somaliland,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,South Ossetia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,South Yemen,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Surrey,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Székely Land,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Sápmi,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Taiwan,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Tamil Eelam,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Tibet,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Ticino,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Two Sicilies,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,United Koreans in Japan,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,United States Virgin Islands,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Vatican City,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
